,Title,Score,User_Score,Author,Platform,Genre
47,etrian-odyssey-nexus,score-8,999," ""Heidi Kemps""",3ds-,Role-Playing
48,downwell,score-8,6.8," ""Edmond Tran""","and-,ios-,-ns-,-pc-,ps4-,ita-",Action
49,mages-initiation-reign-of-the-elements,score-6,999," ""Edmond Tran""",-pc-,Role-Playing
50,wargroove,score-8,999," ""Chris Pereira""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Turn-Based,Strategy"
51,the-hong-kong-massacre,score-7,4.6," ""James O&#039;Connor""","-pc-,ps4-","Action,Fixed-Screen,Shooter,2D"
52,genesis-alpha-one,score-4,7.6," ""Alessandro Barbosa""","-pc-,ps4-,one-","First-Person,Shooter,3D,Action"
53,kingdom-hearts-3,score-8,7," ""Tamoor Hussain""","ps4-,one-","Role-Playing,Action"
54,jon-shafers-at-the-gates,score-7,999," ""David Wildgoose""","lnx-,mac-,-pc-","Strategy,Turn-Based"
55,resident-evil-2,score-9,9," ""Alessandro Fillari""","-pc-,ps4-,one-","3D,Action,Adventure,Survival"
56,life-is-strange-2-episode-2,score-8,6.6," ""Jess McDonell""","lnx-,mac-,-pc-,ps4-,one-","Adventure,Action"
57,pikuniku,score-8,999," ""James O&#039;Connor""","lnx-,mac-,-ns-,-pc-","Action,Puzzle"
58,mario-and-luigi-bowsers-inside-story-bowser-jrs-jo,score-8,8.9," ""Justin Clark""","3ds-,-ds-",Role-Playing
59,ace-combat-7-skies-unknown,score-8,7," ""Edmond Tran""","-pc-,ps4-,one-","Simulation,Flight"
60,the-walking-dead-the-final-season-episode-3,score-8,8.3," ""Justin Clark""","and-,ios-,mac-,-ns-,-pc-,ps4-,one-",Adventure
61,yiik-a-postmodern-rpg,score-5,999," ""Cian Maher""","mac-,-ns-,-pc-,ps4-,ita-",Role-Playing
62,travis-strikes-again-no-more-heroes,score-6,999," ""Michael Higham""",-ns-,"3D,Beat-Em-Up,Action"
63,double-cross,score-6,999," ""Heidi Kemps""","-ns-,-pc-","Action,2D,Platformer"
64,vane,score-5,999," ""James O&#039;Connor""","-pc-,ps4-",Adventure
65,the-eternal-castle-remastered,score-8,999," ""David Wildgoose""","mac-,-pc-",Adventure
66,new-super-mario-bros-u-deluxe,score-7,8," ""Oscar Dayus""","-ns-,iiu-","Action,2D,Platformer"
67,bury-me-my-love,score-8,999," ""Richard Wakeling""","ios-,-ns-,-pc-",Adventure
68,below,score-6,999," ""James O&#039;Connor""","-pc-,one-",Action
69,battle-princess-madelyn,score-6,999," ""Heidi Kemps""","-ns-,-pc-,ps4-,ita-,iiu-,one-","Action,2D,Platformer"
70,gris,score-9,8," ""Tom Mc Shea""","mac-,-ns-,-pc-","2D,Action,Platformer"
71,desert-child,score-5,999," ""James O&#039;Connor""","lnx-,mac-,-ns-,-pc-,ps4-,one-","Arcade,Driving-Racing"
72,monster-boy-and-the-cursed-kingdom,score-8,999," ""Alexander Pan""","-ns-,-pc-,ps4-,one-","Action,Adventure"
73,earth-defense-force-5,score-8,999," ""James Swinbanks""",ps4-,"Action,Shooter,Third-Person,3D"
74,ashen,score-9,8.1," ""Jordan Ramée""","-pc-,one-","Role-Playing,Action"
75,artifact,score-8,999," ""Daniel Starkey""","lnx-,mac-,-pc-",Card-Game
76,super-smash-bros-ultimate,score-9,8.5," ""Edmond Tran""",-ns-,"Fighting,Action,2D"
77,mutant-year-zero-road-to-eden,score-9,7.6," ""David Wildgoose""","-ns-,-pc-,ps4-,one-","Strategy,Turn-Based"
78,just-cause-4,score-6,6," ""Michael Higham""","-pc-,ps4-,one-","Adventure,Action"
79,big-bash-boom,score-5,999," ""James Swinbanks""","-ns-,-pc-,ps4-,one-","Team-Based,Sports,Cricket"
80,cosmic-top-secret,score-7,999," ""Justin Clark""","mac-,-pc-","Third-Person,3D,Adventure"
81,persona-3-dancing-in-moonlight,score-9,999," ""Michael Higham""","ps4-,ita-","Music-Rhythm,v-r"
82,persona-5-dancing-in-starlight,score-8,999," ""Michael Higham""","ps4-,ita-","Music-Rhythm,v-r"
83,beat-saber,score-8,999," ""Alessandro Barbosa""","-pc-,ps4-","Action,v-r"
84,nidhogg-2,score-7,999," ""Oscar Dayus""","mac-,-ns-,-pc-,ps4-,one-",Action
85,darksiders-3,score-4,7.3," ""Richard Wakeling""","-pc-,ps4-,one-","Action,Adventure"
86,hitman-2,score-8,7.4," ""Edmond Tran""","-pc-,ps4-,one-","Action,Adventure"
87,fallout-76,score-4,4.3," ""Edmond Tran""","-pc-,ps4-,one-",Role-Playing
88,underworld-ascendant,score-2,3.6," ""David Wildgoose""","lnx-,mac-,-ns-,-pc-,ps4-,one-",Role-Playing
89,taiko-no-tatsujin-drum-n-fun-drum-session,score-7,999," ""Heidi Kemps""",-ns-,Music-Rhythm
90,battlefield-5,score-8,5.5," ""Michael Higham""","-pc-,ps4-,one-","Action,First-Person,Shooter,Tactical"
91,pokemon-lets-go-pikachu-and-lets-go-eevee,score-8,7.5," ""Jacob Dekker""",-ns-,"Management,Role-Playing"
92,overkills-the-walking-dead,score-3,4.6," ""Alessandro Barbosa""",-pc-,"Shooter,3D,Action,First-Person"
93,spyro-reignited-trilogy,score-8,8.4," ""Justin Clark""","ps4-,one-",Compilation
94,11-11-memories-retold,score-7,999," ""David Wildgoose""","-pc-,ps4-,one-",Adventure
95,full-metal-furies,score-8,999," ""Jordan Ramée""","lnx-,mac-,-ns-,-pc-,one-","2D,Action,Beat-Em-Up"
96,tetris-effect,score-9,8.4," ""Peter Brown""",ps4-,"Puzzle,Matching-Stacking"
